scientific_name,park_name,observations
Vicia benghalensis,Great Smoky Mountains National Park,68
Neovison vison,Great Smoky Mountains National Park,77
Prunus subcordata,Yosemite National Park,138
Abutilon theophrasti,Bryce National Park,84
Githopsis specularioides,Great Smoky Mountains National Park,85
Elymus virginicus var. virginicus,Yosemite National Park,112
Spizella pusilla,Yellowstone National Park,228
Elymus multisetus,Great Smoky Mountains National Park,39
Lysimachia quadrifolia,Yosemite National Park,168
Diphyscium cumberlandianum,Yellowstone National Park,250
Ludwigia peploides ssp. glabrescens,Bryce National Park,103
Cistothorus platensis,Bryce National Park,114
Setaria viridis var. viridis,Bryce National Park,101
Arabis davidsonii,Yellowstone National Park,279
Fabronia ciliaris,Great Smoky Mountains National Park,72
Lunaria annua,Great Smoky Mountains National Park,65
Quercus bicolor,Yosemite National Park,143
Muhlenbergia rigens,Yosemite National Park,165
Rubus idaeus ssp. strigosus,Yosemite National Park,150
Polymnia canadensis,Great Smoky Mountains National Park,80
Carduus nutans,Bryce National Park,83
Ptilium crista-castrensis,Bryce National Park,109
Elodea nuttallii,Yosemite National Park,158
Larus philadelphia,Yosemite National Park,167
Zizia trifoliata,Yosemite National Park,135
Amaranthus retroflexus,Yellowstone National Park,247
Geranium thunbergii,Yosemite National Park,150
Scirpus cyperinus,Great Smoky Mountains National Park,73
Viola glabella,Yellowstone National Park,261
Scaphiopus holbrookii holbrookii,Yosemite National Park,177
Glyceria striata,Yosemite National Park,117
Veronica cusickii,Bryce National Park,84
Festuca filiformis,Great Smoky Mountains National Park,79
Rosa pinetorum,Bryce National Park,96
Lysimachia nummularia,Yosemite National Park,140
Sclerolinon digynum,Bryce National Park,116
Camissonia sierrae ssp. alticola,Bryce National Park,84
Festuca idahoensis,Yellowstone National Park,239
Doellingeria infirma,Yellowstone National Park,262
Viola macloskeyi ssp. pallens,Great Smoky Mountains National Park,71
Cirsium arvense,Great Smoky Mountains National Park,85
Elaeagnus umbellata,Yosemite National Park,176
Cornus alternifolia,Yosemite National Park,148
Portulaca oleracea,Great Smoky Mountains National Park,76
Elaeagnus umbellata,Great Smoky Mountains National Park,85
Solidago missouriensis var. missouriensis,Bryce National Park,112
Silene parryi,Great Smoky Mountains National Park,68
Itea virginica,Yellowstone National Park,235
Ammoselinum butleri,Yellowstone National Park,283
Platycladus orientalis,Great Smoky Mountains National Park,25
Limnanthes alba ssp. versicolor,Yellowstone National Park,246
Panicum rigidulum var. pubescens,Yosemite National Park,158
Salix humilis var. humilis,Great Smoky Mountains National Park,64
Hepatica nobilis,Yellowstone National Park,281
Eriogonum nudum var. deductum,Bryce National Park,88
Penstemon procerus,Great Smoky Mountains National Park,67
Ericameria suffruticosa,Yellowstone National Park,254
Chasmanthium latifolium,Yosemite National Park,152
Sparganium emersum ssp. emersum,Great Smoky Mountains National Park,80
Ribes rotundifolium,Yosemite National Park,147
